date,vwretd,ewretd,sprtrn
1990-09-25,0.009762,0.00014,0.012049
1990-09-26,-0.010294,-0.009086,-0.010381
1990-09-27,-0.01432,-0.014499,-0.013407
1990-09-28,0.014276,0.002455,0.016879
1990-10-01,0.026022,0.010866,0.029048
1990-10-02,0.002635,0.005902,0.000857
1990-10-03,-0.010339,-0.004204,-0.012087
1990-10-04,0.001654,-0.001322,0.004143
1990-10-05,-0.00425,-0.004304,-0.003806
1990-10-08,0.005437,0.000435,0.006356
1990-10-09,-0.024176,-0.014834,-0.026732
1990-10-10,-0.015102,-0.01039,-0.015438
1990-10-11,-0.017224,-0.01618,-0.016412
1990-10-12,0.012246,0.004484,0.015467
1990-10-15,0.008453,-0.001047,0.010666
1990-10-16,-0.01314,-0.005997,-0.014214
1990-10-17,5.2e-05,-0.002659,-0.000535
1990-10-18,0.021594,0.010228,0.023363
1990-10-19,0.017335,0.009737,0.022045
1990-10-22,0.007851,0.000164,0.007296
1990-10-23,-0.0044,0.003095,-0.007625
1990-10-24,0.000212,0.001772,0.000768
1990-10-25,-0.005624,0.000896,-0.007774
1990-10-26,-0.015955,-0.008692,-0.017603
1990-10-29,-0.008941,-0.006971,-0.009288
1990-10-30,0.004255,-0.002863,0.007221
1990-10-31,0.000644,-0.001177,-0.000197
1990-11-01,0.008037,0.001776,0.009934
1990-11-02,0.014963,0.008813,0.015732
1990-11-05,0.009563,0.003657,0.008786
1990-11-06,-0.006524,0.000589,-0.009441
1990-11-07,-0.015161,-0.005777,-0.018003
1990-11-08,0.004051,-0.00014,0.005229
1990-11-09,0.017564,0.007464,0.019928
1990-11-12,0.018473,0.011641,0.018295
1990-11-13,-0.002922,0.001501,-0.005665
1990-11-14,0.007987,0.007265,0.008594
1990-11-15,-0.008505,0.001391,-0.010549
1990-11-16,-0.000187,0.000551,0.000315
1990-11-19,0.005659,0.001382,0.007001
1990-11-20,-0.010211,-0.004564,-0.01262
1990-11-21,0.001002,0.001081,0.002283
1990-11-23,-0.001948,0.004589,-0.002943
1990-11-26,0.003071,-0.003579,0.004475
1990-11-27,0.006739,0.005611,0.005024
1990-11-28,0.000746,0.004612,-0.000472
1990-11-29,-0.003503,0.001257,-0.004812
1990-11-30,0.015778,0.010637,0.01833
1990-12-03,0.006589,0.000124,0.005835
1990-12-04,0.007184,0.00244,0.006942
1990-12-05,0.011524,0.011794,0.010939
1990-12-06,-0.001445,0.004238,-0.002576
1990-12-07,-0.003235,0.001679,-0.004011
1990-12-10,0.002372,-0.001361,0.003478
1990-12-11,-0.005682,-0.004517,-0.007449
1990-12-12,0.009204,0.003213,0.011488
1990-12-13,-0.000649,0.001334,-0.002574
1990-12-14,-0.007353,-0.002277,-0.007652
1990-12-17,-0.003769,-0.008366,-0.002448
1990-12-18,0.011516,0.000813,0.012361
1990-12-19,0.001051,0.003747,0.000454
1990-12-20,0.000604,0.001408,-0.000242
1990-12-21,0.003009,4.6e-05,0.004938
1990-12-24,-0.00369,0.00137,-0.005576
1990-12-26,0.002638,-0.001432,0.00288
1990-12-27,-0.005724,-0.002016,-0.007738
1990-12-28,0.00036,-0.000151,0.00131
1990-12-31,0.00498,0.010273,0.004563
1991-01-02,-0.008813,0.010975,-0.011417
1991-01-03,-0.01182,-0.002441,-0.013907
1991-01-04,-0.002309,0.002093,-0.002827
1991-01-07,-0.016346,-0.009454,-0.017321
1991-01-08,-0.002727,-0.003873,-0.001712
1991-01-09,-0.009093,-0.001875,-0.010829
1991-01-10,0.009429,0.004086,0.00976
1991-01-11,0.000868,0.00171,0.002226
1991-01-14,-0.009508,-0.013101,-0.008692
1991-01-15,0.003183,-0.000554,0.003968
1991-01-16,0.009464,0.006528,0.007777
1991-01-17,0.033074,0.023274,0.037322
1991-01-18,0.00902,0.000814,0.012989
1991-01-21,-0.000752,0.000705,-0.003522
1991-01-22,-0.005899,0.004444,-0.008307
1991-01-23,0.005906,0.008564,0.005787
1991-01-24,0.014341,0.013086,0.01384
1991-01-25,0.004249,0.011475,0.003853
1991-01-28,0.001523,0.006932,-0.000119
1991-01-29,0.001066,0.007142,-0.000565
1991-01-30,0.014963,0.015983,0.015097
1991-01-31,0.009568,0.013224,0.008859
1991-02-01,0.000271,0.011324,-0.002559
1991-02-04,0.015715,0.019088,0.015421
1991-02-05,0.010277,0.013565,0.008383
1991-02-06,0.017859,0.014885,0.019387
1991-02-07,-0.003433,0.003348,-0.004329
1991-02-08,0.006692,0.008712,0.007938
1991-02-11,0.023406,0.01508,0.025685
1991-02-12,-0.005439,0.003575,-0.008356
1991-02-13,0.008805,0.008795,0.009631
1991-02-14,-0.011131,0.001423,-0.013007
1991-02-15,0.011687,0.010002,0.013289
1991-02-19,0.001523,0.002096,0.000894
1991-02-20,-0.010218,-0.003443,-0.011506
1991-02-21,-0.000246,0.006361,-0.000466
1991-02-22,0.002227,0.006866,0.001863
1991-02-25,0.004392,0.005426,0.004403
1991-02-26,-0.01048,-0.003416,-0.012117
1991-02-27,0.011476,0.007556,0.013588
1991-02-28,0.000805,0.009772,-0.001822
1991-03-01,0.008371,0.006262,0.009263
1991-03-04,0.000792,0.011984,-0.003077
1991-03-05,0.01872,0.014933,0.020009
1991-03-06,-0.000997,0.004454,-0.00146
1991-03-07,0.000183,0.004281,-0.000691
1991-03-08,-0.001836,0.005666,-0.002554
1991-03-11,-0.005634,-0.000339,-0.005307
1991-03-12,-0.008146,-0.002455,-0.007856
1991-03-13,0.010826,0.007081,0.012269
1991-03-14,-0.001446,0.00516,-0.002857
1991-03-15,-0.002086,-0.00123,0.000241
1991-03-18,-0.002448,0.001536,-0.003962
1991-03-19,-0.012276,-0.00458,-0.014834
1991-03-20,0.003676,0.004316,0.003628
1991-03-21,-0.002437,0.003451,-0.003642
1991-03-22,0.001576,0.003131,0.002455
1991-03-25,0.0065,0.005513,0.006395
1991-03-26,0.016058,0.007365,0.017495
1991-03-27,4.9e-05,0.006347,-0.002525
1991-03-28,-0.000331,0.005386,-0.000346
1991-04-01,-0.007887,-0.001006,-0.010447
1991-04-02,0.019315,0.009694,0.022085
1991-04-03,0.001303,0.00796,-0.001476
1991-04-04,0.003189,0.005458,0.00219
1991-04-05,-0.008957,0.001111,-0.011612
1991-04-08,0.005881,0.002053,0.008792
1991-04-09,-0.010069,-0.001068,-0.013469
1991-04-10,-0.001837,0.000949,-0.001098
1991-04-11,0.011522,0.008509,0.012006
1991-04-12,0.006035,0.005133,0.007335
1991-04-15,0.001968,0.001322,0.002077
1991-04-16,0.014233,0.006682,0.016868
1991-04-17,0.007752,0.006616,0.007301
1991-04-18,-0.004857,0.001468,-0.005097
1991-04-19,-0.009834,-0.000865,-0.010966
1991-04-22,-0.009336,-0.007944,-0.008459
1991-04-23,0.001777,0.003613,0.002126
1991-04-24,0.002895,0.004466,0.002619
1991-04-25,-0.007303,-0.000625,-0.00917
1991-04-26,-0.001376,-0.000129,-0.000606
1991-04-29,-0.012574,-0.005352,-0.014142
1991-04-30,0.002211,-0.003821,0.004523
1991-05-01,0.011984,0.007196,0.013161
1991-05-02,0.001922,0.004836,0.000605
1991-05-03,0.000813,0.003169,0.000736
1991-05-06,-0.00158,-0.001309,-0.001891
1991-05-07,-0.005006,0.002367,-0.007262
1991-05-08,0.002347,0.004043,0.003154
1991-05-09,0.011488,0.005198,0.012523
1991-05-10,-0.015676,-0.004073,-0.019596
1991-05-13,0.001862,-0.000283,0.002715
1991-05-14,-0.01185,-0.00607,-0.013643
1991-05-15,-0.009834,-0.007946,-0.008207
1991-05-16,0.009211,0.003792,0.009822
1991-05-17,-0.000181,0.002145,0.000537
1991-05-20,-6.7e-05,-0.00078,-0.000295
1991-05-21,0.00745,0.003274,0.008246
1991-05-22,0.002428,0.001972,0.002238
1991-05-23,-0.001313,0.00194,-0.003243
1991-05-24,0.006375,0.005159,0.006721
1991-05-28,0.010607,0.00356,0.011788
1991-05-29,0.002654,0.003403,0.002225
1991-05-30,0.010109,0.007187,0.010894
1991-05-31,0.007133,0.006538,0.007417
1991-06-03,-0.002471,0.001578,-0.00454
1991-06-04,-0.000321,0.000769,-0.000825
1991-06-05,-0.005235,0.001089,-0.006834
1991-06-06,-0.003385,-0.000134,-0.003791
1991-06-07,-0.009041,-0.001724,-0.010948
1991-06-10,-0.002186,-0.002013,-0.002267
1991-06-11,0.004424,0.000454,0.006551
1991-06-12,-0.010461,-0.008476,-0.011547
1991-06-13,0.002134,0.002174,0.002602
1991-06-14,0.010401,0.005867,0.01234
1991-06-17,-0.003775,-0.001621,-0.00565
1991-06-18,-0.003599,-0.002474,-0.004051
1991-06-19,-0.009258,-0.005662,-0.009245
1991-06-20,0.000214,-0.000191,0.00088
1991-06-21,0.004215,0.001745,0.006206
1991-06-24,-0.016578,-0.010969,-0.018028
1991-06-25,-0.001745,-0.003317,-0.000782
1991-06-26,0.001376,-0.00109,0.002536
1991-06-27,0.006771,0.00282,0.007562
1991-06-28,-0.006103,0.000311,-0.008654
