permno,ticker,comnam
16816,BHF,BRIGHTHOUSE FINANCIAL INC
16851,DD,DUPONT DE NEMOURS INC
16870,PET,PACIFIC ENTERPRISES
16926,CMIL,CANNON MILLS CO
16969,GTY,GRANT W T CO
17005,CVS,C V S HEALTH CORP
17013,SM,SPIEGEL INC
17048,WB,WARNER BROS PICTURES INC
17056,HLN,HOLLAND FURNACE CO
17064,,INDUSTRIAL RAYON CORP
17099,UCC,UNITED ELEC COAL COS
17128,ZB,CROWN ZELLERBACH CORP
17137,BSET,BASSETT FURNITURE INDUSTRIES INC
17144,GIS,GENERAL MILLS INC
17216,,WESSON OIL & SNOWDRIFT INC
17232,AGG,AGUIRRE CO
17267,PET,PET INC
17278,AAV,AVATEX CORP
17279,LO,LORILLARD INC
17291,SA,SAFEWAY STORES INC
17304,ALS,ALLIED STORES CORP
17312,CLO,CELOTEX CORP
17340,TGR,TIGER INTERNATIONAL INC
17398,,TRUAX TRAER COAL CO
17419,,AMERICAN HAWAIIAN SS CO
17435,EVY,EVANS PRODUCTS CO
17451,LKB,LINK BELT CO
17478,SPGI,S & P GLOBAL INC
17486,,SPENCER KELLOGG & SONS INC
17515,CPC,CURTIS PUBLISHING CO
17558,ASC,AMERICAN STORES CO
17566,AS,ARMCO INC
17582,BHL,BOHN ALUM & BRASS CORP
17590,BOR,BORG WARNER CORP
17603,,CLETRAC CORP
17646,RVB,REVERE COPPER & BRASS INC
17654,RKS,ROCKWELL STD CORP
17689,AWC,ANACONDA WIRE & CABLE CO
17700,DAY,DAYFORCE INC
17718,BLD,BULLARD CO
17726,CCK,CROWN HOLDINGS INC
17742,HH,HOUDAILLE INDUSTRIES INC
17743,WRB,BERKLEY W R CORP
17750,KMB,KIMBERLY CLARK CORP
17783,CHX,CHAMPIONX CORP
17806,PD,PHELPS DODGE CORP
17830,RTX,R T X CORP
17849,U,UNITED CORP
17881,MTI,MOTEC INDS INC
17929,UGI,U G I CORP NEW
17942,KDP,KEURIG DR PEPPER INC
17953,BRY,BEATRICE CO
17961,BGG,BRIGGS & STRATTON CORP
18016,HPC,HERCULES INC
18032,SPP,SCOTT PAPER CO
18065,GTX,GARRETT MOTION INC
18067,ZE,ZENITH ELECTRONICS CORP
18091,CW,CURTISS WRIGHT CORP
18092,BMET,BIOMET INC
18112,FWC,FOSTER WHEELER CORP
18142,REZI,RESIDEO TECHNOLOGIES INC
18147,ANV,AEROQUIP VICKERS INC
18163,PG,PROCTER & GAMBLE CO
18171,SE,SERVEL INC
18198,SW,STONE & WEBSTER INC
18267,DELL,DELL TECHNOLOGIES INC
18278,ISS,INTERCO INC
18312,MRNA,MODERNA INC
18315,SGIB,SLATTERY GROUP INC
18327,CVET,COVETRUS INC
18331,BF,BUDD CO
18366,,HERCULES MTRS CORP
18374,HON,HONEYWELL INC
18382,PHA,PHARMACIA CORP
18390,NEB,NEISNER BROTHERS INC
18403,JCP,PENNEY J C CO INC
18411,SO,SOUTHERN CO
18420,FOXA,FOX CORP
18421,FOX,FOX CORP
18428,DOW,DOW INC
18446,CKL,CLARK EQUIPMENT CO
18454,,CREAM OF WHEAT CORP
18542,CAT,CATERPILLAR INC
18550,FDS,FEDERATED DEPARTMENT STORES INC
18551,BOAT,BOATMENS BANCSHARES INC
18569,FIR,FIRESTONE INC
18576,UBER,UBER TECHNOLOGIES INC
18578,KTB,KONTOOR BRANDS INC
18585,HPG,HALL W F PRINTING CO
18592,CTVA,CORTEVA INC
18649,BCO,BRINKS CO
18681,TRW,T R W INC
18726,CRWD,CROWDSTRIKE HOLDINGS INC
18729,CL,COLGATE PALMOLIVE CO
18825,ACN,AMERICAN CHAIN & CABLE INC
18841,BK,BLAW KNOX CO
18868,,ENGINEERS PUB SVC CO
18884,MF,MARSHALL FIELD & CO DE
18921,RLM,REYNOLDS METALS CO
18948,ROK,ROCKWELL INTERNATIONAL CORP
18980,AM,A M INTERNATIONAL INC
18999,CSP,COMBUSTION ENGINEERING INC
19019,NS,NATIONAL STEEL CORP
19027,CZ,CELANESE CORP
19051,TA,TRANSAMERICA CORP
19107,LNY,LANE BRYANT INC
19131,USG,U S G CORP
19166,FMC,F M C CORP
19174,GH,GENERAL HOST CORP
19203,D,DOUGLAS AIRCRAFT INC
19211,LIL,LILY TULIP CUP CORP
19238,WHX,WHEELING PITTSBURGH CORP
19254,DI,DRESSER INDUSTRIES INC
19270,BGS,BIGELOW SANFORD INC
19285,CARR,CARRIER GLOBAL CORP
19286,OTIS,OTIS WORLDWIDE CORP
19297,CPS,COLUMBIA PICTURES INDS INC DE
19334,WH,WHITE MOTOR CORP
19350,DE,DEERE & CO
19377,BNL,BENEFICIAL CORP
19385,SH,SCHENLEY INDUSTRIES INC
19393,BMY,BRISTOL MYERS SQUIBB CO
19414,GET,GETTY OIL CO
19430,RXM,RICHARDSON MERRELL INC
19502,WBA,WALGREENS BOOTS ALLIANCE INC
19510,JJN,NEWBERRY J J CO
19537,NCR,N C R CORP
19553,AN,AMOCO CORP
19561,BA,BOEING CO
19589,BRNO,BRUNOS INC
19596,UAL,U A L CORP
19617,TWA,TRANS WORLD AIRLINES INC
19625,,BRIDGEPORT BRASS CO
19668,AUD,ALDENS INC
19684,CGH,CLEVITE CORP
19692,ACK,ARMSTRONG HOLDINGS INC
19713,ESM,ESMARK INC
19721,VVI,VIAD CORP
19756,LJ,LIBBY MC NEILL & LIBBY
19764,AMDA,ARMADA CORP
