date,k10_raw_ret,k10_net_ret,k50_raw_ret,k50_net_ret,k100_raw_ret,k100_net_ret,k150_raw_ret,k150_net_ret,k200_raw_ret,k200_net_ret
1993-01-06,-0.006883400000000001,-0.008883400000000001,0.00015338000000000244,-0.0018466199999999976,-0.0012856600000000018,-0.003285660000000002,-0.002075093333333336,-0.004075093333333336,-0.002105840000000001,-0.004105840000000001
1993-01-07,0.001090499999999999,-0.000909500000000001,0.0020176,1.7599999999999994e-05,0.0028866399999999993,0.0008866399999999993,-0.0005824066666666682,-0.0025824066666666682,-0.0007034450000000013,-0.0027034450000000014
1993-01-08,0.013951999999999999,0.011951999999999999,0.00314096,0.0011409599999999999,0.0005680800000000003,-0.0014319199999999997,0.0020724533333333333,7.245333333333326e-05,0.003086910000000001,0.0010869100000000008
1993-01-11,0.008017700000000001,0.006017700000000001,0.01014082,0.00814082,0.009333979999999999,0.007333979999999999,0.007539026666666667,0.005539026666666667,0.005298305,0.0032983049999999996
1993-01-12,0.0090943,0.0070942999999999996,0.0027126999999999997,0.0007126999999999997,0.0027065599999999993,0.0007065599999999993,0.0011504133333333335,-0.0008495866666666666,0.0005170849999999992,-0.0014829150000000009
1993-01-13,0.011556299999999999,0.009556299999999998,-0.0005853000000000004,-0.0025853000000000004,-0.00021321000000000014,-0.00221321,-0.0003866600000000005,-0.0023866600000000005,-0.0004887349999999997,-0.0024887349999999997
1993-01-14,0.0024555999999999988,0.0004555999999999987,0.00919148,0.00719148,0.00900532,0.007005320000000001,0.006100433333333334,0.004100433333333334,0.00543375,0.00343375
1993-01-15,-0.0038071000000000008,-0.005807100000000001,0.005489799999999998,0.0034897999999999978,0.0030987099999999993,0.0010987099999999993,0.0027936266666666663,0.0007936266666666663,0.0020555749999999996,5.557499999999955e-05
1993-01-18,-0.011216099999999998,-0.013216099999999998,-0.0054053999999999994,-0.0074053999999999995,-0.00443527,-0.00643527,-0.0019051533333333333,-0.0039051533333333333,-0.002575775,-0.004575775000000001
1993-01-19,0.0106362,0.0086362,0.0011368400000000005,-0.0008631599999999995,0.0003905400000000001,-0.00160946,0.0004999733333333335,-0.0015000266666666665,-0.0002411700000000004,-0.0022411700000000007
1993-01-20,0.027159299999999997,0.025159299999999996,0.008116080000000003,0.006116080000000003,0.005699040000000001,0.0036990400000000007,0.004608353333333332,0.002608353333333332,0.0028680299999999993,0.0008680299999999992
1993-01-21,0.0015439999999999994,-0.0004560000000000007,0.0002418600000000002,-0.0017581399999999998,-0.0011337400000000005,-0.0031337400000000003,-0.0002531333333333337,-0.0022531333333333336,-0.0004977249999999994,-0.0024977249999999993
1993-01-22,0.0012145999999999928,-0.0007854000000000073,0.002270620000000001,0.00027062000000000093,0.0008013699999999992,-0.0011986300000000009,0.0018782,-0.00012180000000000003,-0.0008219049999999995,-0.0028219049999999996
1993-01-25,0.026652300000000004,0.024652300000000002,0.00341898,0.0014189799999999998,0.0025178199999999996,0.0005178199999999996,0.0034091733333333337,0.0014091733333333337,0.00347426,0.0014742599999999998
